,longitude,latitude,the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
8991,-87.59951989899997,41.81806904899997,POINT (-87.59951989899997 41.81806904899997),7991,42ND PLACE,LAKE PARK,WB,NS,43,,CHICAGO,42nd Place & Lake Park
8992,-87.81922355,41.96703358100001,POINT (-87.81922355 41.96703358100001),9745,LAWRENCE,OVERHILL,WB,NS,81W,,NORRIDGE,Lawrence & Overhill
8993,-87.75256150299998,42.06260127500002,POINT (-87.75256150299998 42.06260127500002),10446,OLD ORCHARD RD,LAWLER,WB,NS,54A,,SKOKIE,Old Orchard Rd & Lawler
8994,-87.53515928000002,41.69736657200002,POINT (-87.53515928000002 41.69736657200002),7351,EWING,109TH STREET,NB,FS,30,,CHICAGO,Ewing & 109th Street
8995,-87.69925999999998,41.98848200100002,POINT (-87.69925999999998 41.98848200100002),11904,CALIFORNIA,THORNDALE,NB,NS,93,,CHICAGO,California & Thorndale
8996,-87.634398052,41.91875007300001,POINT (-87.634398052 41.91875007300001),1141,STOCKTON,ARMITAGE,NB,MB,"151,156",,CHICAGO,Stockton & Armitage
8997,-87.60231470899998,41.822614558,POINT (-87.60231470899998 41.822614558),7743,LAKE PARK,40TH STREET,NB,FS,39,,CHICAGO,Lake Park & 40th Street
8998,-87.53977255199999,41.64995672600003,POINT (-87.53977255199999 41.64995672600003),14029,AVENUE O,135TH STREET,NB,NS,30,,CHICAGO,Avenue O & 135th Street
8999,-87.74373590800002,41.84197114099999,POINT (-87.74373590800002 41.84197114099999),10408,CICERO,28TH STREET,NB,NT,"35,54B",,CICERO,Cicero & 28th Street
9000,-87.80611803199997,41.92225069199998,POINT (-87.80611803199997 41.92225069199998),15716,HARLEM,MEDILL,NB,NS,"90,307",,CHICAGO,Harlem & Medill
9001,-87.78466678699999,41.901763355000014,POINT (-87.78466678699999 41.901763355000014),11734,RIDGELAND,DIVISION,NB,NS,86,,OAK PARK,Ridgeland & Division
9002,-87.701712918,41.720525555999984,POINT (-87.701712918 41.720525555999984),9982,KEDZIE,95TH STREET,NB,NS,52A,,EVERGREEN PARK,Kedzie & 95th Street
9003,-87.804944922,41.888828174000025,POINT (-87.804944922 41.888828174000025),15700,HARLEM,LAKE,NB,FS,"90,307,318",,OAK PARK,Harlem & Lake
9004,-87.709189783,42.00545161399998,POINT (-87.709189783 42.00545161399998),12034,KEDZIE,FARWELL (6833 NORTH),NB,MB,11,,CHICAGO,6833 N Kedzie
9005,-87.66459999900002,41.799391000000014,POINT (-87.66459999900002 41.799391000000014),6192,ASHLAND,52ND STREET,NB,NS,9,N9,CHICAGO,Ashland & 52nd Street
9006,-87.77436861000001,41.874603545000014,POINT (-87.77436861000001 41.874603545000014),9622,AUSTIN,VAN BUREN,NB,FT,91,,CHICAGO,Austin & Van Buren
9007,-87.62054649700002,41.703369141999985,POINT (-87.62054649700002 41.703369141999985),7614,MICHIGAN,105TH STREET,NB,NS,"34,119",N34,CHICAGO,Michigan & 105th Street
9008,-87.69672592799998,41.90106510200002,POINT (-87.69672592799998 41.90106510200002),3178,CALIFORNIA,THOMAS,NB,NS,94,,CHICAGO,California & Thomas
9009,-87.67926400099998,41.97462100000001,POINT (-87.67926400099998 41.97462100000001),8960,DAMEN,WINONA,NB,NS,50,,CHICAGO,Damen & Winona
9010,-87.688381741,41.93223720999998,POINT (-87.688381741 41.93223720999998),17529,DIVERSEY,WESTERN/ELSTON,WB,FS,76,,CHICAGO,Diversey & Western/Elston
9011,-87.693094197,41.93219843100002,POINT (-87.693094197 41.93219843100002),17530,DIVERSEY,ROCKWELL,WB,FS,76,,CHICAGO,Diversey & Rockwell
9012,-87.713183577,41.99520723799998,POINT (-87.713183577 41.99520723799998),17560,McCORMICK,LINCOLN,NEB,MB,"11,82",,CHICAGO,McCormick & Lincoln
9013,-87.73083839399999,41.79319950299998,POINT (-87.73083839399999 41.79319950299998),17562,55TH STREET,KILDARE,WB,FS,55,,CHICAGO,55th Street & Kildare
9014,-87.576382701,41.76633649600001,POINT (-87.576382701 41.76633649600001),17564,JEFFERY,71ST STREET,SB,NS,"N5,J14,15",N5,CHICAGO,Jeffery & 71st Street
9015,-87.72842914099999,41.89537798499998,POINT (-87.72842914099999 41.89537798499998),649,CHICAGO,KARLOV,WB,NS,66,,CHICAGO,Chicago & Karlov
9016,-87.66672437599999,41.78678177299997,POINT (-87.66672437599999 41.78678177299997),13067,59TH STREET,PAULINA,WB,NS,59,,CHICAGO,59th Street & Paulina
9017,-87.61079949600003,41.78402778200001,POINT (-87.61079949600003 41.78402778200001),13036,61ST STREET,ST. LAWRENCE,WB,NS,"N4,59",N4,CHICAGO,61st Street & St. Lawrence
9018,-87.59704902800001,41.802415419,POINT (-87.59704902800001 41.802415419),1530,E HYDE PARK,WOODLAWN,WB,FS,"2,15",,CHICAGO,E Hyde Park & Woodlawn
9019,-87.81685101900001,41.96707737899999,POINT (-87.81685101900001 41.96707737899999),9744,LAWRENCE,ORIOLE (west leg),WB,NS,81W,,HARWOOD HEIGHTS,Lawrence & Oriole
9020,-87.70733630799998,41.84455844500002,POINT (-87.70733630799998 41.84455844500002),6399,26TH STREET,SPAULDING,WB,NS,60,N60,CHICAGO,26th Street & Spaulding
9021,-87.82619634299999,41.93782237099998,POINT (-87.82619634299999 41.93782237099998),9358,BELMONT,PACIFIC (80TH AVENUE),WB,NS,77,,CHICAGO,Belmont & Pacific (80th Avenue)
9022,-87.67194383399999,41.801328994000016,POINT (-87.67194383399999 41.801328994000016),9209,51ST STREET,WOLCOTT,WB,NS,51,,CHICAGO,51st Street & Wolcott
9023,-87.67940270899999,42.064199110000004,POINT (-87.67940270899999 42.064199110000004),14990,CENTRAL,ORRINGTON,WB,NS,201,,EVANSTON,Central & Orrington
9024,-87.663985427,41.869363385999975,POINT (-87.663985427 41.869363385999975),6633,TAYLOR,LAFLIN,WB,NS,157,,CHICAGO,Taylor & Laflin
9025,-87.69376028300002,42.064372702000014,POINT (-87.69376028300002 42.064372702000014),14281,CENTRAL STREET,ASHLAND,WB,NS,201,,EVANSTON,Central Street & Ashland
9026,-87.56322111899999,41.726361768000004,POINT (-87.56322111899999 41.726361768000004),12009,93RD STREET,ESSEX,WB,NS,"N5,95",N5,CHICAGO,93rd Street & Essex
9027,-87.52829283199998,41.702771659999996,POINT (-87.52829283199998 41.702771659999996),12260,106TH STREET,AVENUE D,WB,NT,100,,CHICAGO,106th Street & Avenue D
9028,-87.70287748300001,41.684284178999974,POINT (-87.70287748300001 41.684284178999974),10059,115TH STREET,SPAULDING,WB,NS,52A,,CHICAGO,115th Street & Spaulding
9029,-87.77424120799998,41.95319058899997,POINT (-87.77424120799998 41.95319058899997),5729,IRVING PARK,MARMORA,WB,NS,80,,CHICAGO,Irving Park & Marmora
9030,-87.612986686,41.79381808300002,POINT (-87.612986686 41.79381808300002),10580,MORGAN DRIVE,RUSSELL DRIVE,WB,MT,55,N55,CHICAGO,Morgan Drive & Russell Drive
9031,-87.728584609,41.73480843300001,POINT (-87.728584609 41.73480843300001),9528,87TH STREET,KILDARE,WB,NS,87,,CHICAGO,87th Street & Kildare
9032,-87.708572,41.88099199999999,POINT (-87.708572 41.88099199999999),482,MADISON,SPAULDING,WB,MT,20,N20,CHICAGO,Madison & Spaulding
9033,-87.73675612,41.85154696699999,POINT (-87.73675612 41.85154696699999),6889,CERMAK,KILBOURN,WB,NS,21,,CHICAGO,Cermak & Kilbourn
9034,-87.61673845899998,41.76938080100001,POINT (-87.61673845899998 41.76938080100001),7410,69TH STREET,CALUMET,WB,NS,"N5,30,67",N5,CHICAGO,69th Street & Calumet
9035,-87.65453268800002,41.956674866000014,POINT (-87.65453268800002 41.956674866000014),1171,SHERIDAN,BELLE PLAINE,NB,FS,151,,CHICAGO,Sheridan & Belle Plaine
9036,-87.76612530900002,41.909482878000006,POINT (-87.76612530900002 41.909482878000006),15283,NORTH AVENUE,CENTRAL,WB,FS,72,,CHICAGO,North Ave & Central
